fips,abbr,county,pct_pov_2014,With_a_computer,With_broadbrand_Internet,OVER_60,food_insecurity,No_Health_Insurance_Youth,avg_income,child_poverty ,free_lunch,in_fostercare_per100k,8th grade math ,third grade reading ,highschool dropout,broadband
40129,OK,Roger Mills County,12.3,84.5315904,70.6608569,24.1639698,22.6804124,85,53962,18.3,51.7,5.2521,0.28,0.578,0.057,Ê16.2%
40131,OK,Rogers County,10,92.2572292,81.0559632,22.0571718,19.5980356,1762,55865,12.5,56,4.50041,0.19,0.3925,0.126,Ê87.3%
40133,OK,Seminole County,11.8,79.972094,61.189224,23.80439552,26.1560019,1049,34731,35.4,71.9,16.45252,0.1625,0.1805,0.111,Ê9.8%
40135,OK,Sequoyah County,27.9,84.6128991,71.3325578,23.85695979,27.734658,1431,33912,34.5,75.3,10.18519,0.21667,0.3746,0.129,Ê61.3%
40137,OK,Stephens County,20.9,86.680622,76.6746411,25.66446127,23.1026253,683,45607,22,53.7,5.57371,0.16714,0.3458,0.195,Ê73.9%
40139,OK,Texas County,21.5,85.8008274,74.3055556,15.96041854,18.5936444,524,46914,19,67.9,3.23129,0.204,0.212,0.136,Ê94.6%
40141,OK,Tillman County,23.8,82.5436409,70.9654435,26.73320027,22.3433243,114,35054,31.4,83,5.99455,0.155,0.2614,0.131,Ê83.3%
40143,OK,Tulsa County,14.8,91.5036353,84.2037354,19.32680026,21.635341,12932,48082,23.1,60.7,9.10411,0.21862,0.2829,0.175,Ê99.3%
40145,OK,Wagoner County,9.8,93.0224596,86.3735963,21.99100835,19.9761324,1362,53098,15.9,57.5,2.22245,0.1375,0.3453,0.203,Ê94.6%
40147,OK,Washington County,18.5,87.7340504,77.8293816,25.21489971,22.0066835,1142,46836,20.2,52.8,7.85276,0.216,0.3059,0.154,Ê83.0%
40149,OK,Washita County,13.9,88.5890152,73.3191288,24.04653604,21.2765957,147,46742,21.3,62.9,8.17996,0.2725,0.3456,0.049,Ê70.5%
40151,OK,Woods County,14.3,84.8521792,77.8421213,22.62517804,17.8272981,107,48583,17.5,46.2,16.94915,0.31,0.58,0.155,Ê81.5%
40153,OK,Woodward County,12.3,89.1127418,77.0913943,20.389183,19.4877506,550,54158,18.1,56.4,13.56515,0.1425,0.4077,0.121,Ê20.1%
